zipcode,Estimated zip code population in 2016,Zip code population in 2010,Zip code population in 2000,March 2016 Index,Land area,Water area,Population Density (#/sqr mile),Males,Females,Real estate property taxes paid for housing units in 2016,Property Tax % on Houses,Property Tax on Housting ($),Median real estate property taxes paid for housing units with mortgages in 2016,Median real estate property taxes paid for housing units with no mortgage in 2016,Estimated median house/condo value in 2016,Estimated median household income in 2016,Median monthly owner costs for units with a mortgage,Median monthly owner costs for units without a mortgage,Median gross rent in 2016,Median price asked for vacant for-sale houses and condos in 2016,Unemployment,Lat,Lon
60645,47807.0,45274.0,44197.0,105.6,2.3 sq. mi.,0.0 sq. mi.,21177.0,23600,24206,"1.4% ($4,053)",0.014,4053,"$4,426 (1.4%)","$3,111 (1.3%)",285579.0,51170.0,1857.0,677.0,1029.0,311221.0,0.085,42.008558,-87.694735
60646,27847.0,27177.0,27016.0,104.3,4.6 sq. mi.,0.0 sq. mi.,6091.0,13301,14546,"1.5% ($6,190)",0.015,6190,"$6,395 (1.4%)","$5,774 (1.6%)",410111.0,82360.0,2286.0,798.0,918.0,813818.0,0.049,41.993019,-87.75962700000001
60647,90140.0,87291.0,98769.0,106.5,4.0 sq. mi.,0.0 sq. mi.,22269.0,45555,44585,"1.4% ($5,309)",0.014,5309,"$5,406 (1.4%)","$4,978 (1.5%)",374594.0,63560.0,2210.0,784.0,1129.0,371901.0,0.046,41.921215000000004,-87.70102800000001
60649,45866.0,46650.0,54823.0,106.1,2.9 sq. mi.,1.0 sq. mi.,15663.0,19460,26403,"1.4% ($2,387)",0.014,2387,"$2,527 (1.4%)","$1,820 (1.4%)",176586.0,27335.0,1625.0,583.0,854.0,162836.0,0.153,41.76342,-87.56587900000001
60651,62644.0,64267.0,77583.0,104,3.5 sq. mi.,0.0 sq. mi.,17923.0,29219,33424,"1.5% ($2,563)",0.015,2563,"$2,612 (1.5%)","$2,401 (1.6%)",169372.0,35824.0,1533.0,598.0,952.0,236107.0,0.135,41.902093,-87.74085699999999
60652,43848.0,40959.0,39126.0,101.6,5.0 sq. mi.,0.0 sq. mi.,8744.0,21417,22430,"1.4% ($2,510)",0.014,2510,"$2,587 (1.5%)","$2,090 (1.2%)",176142.0,67253.0,1504.0,470.0,1061.0,111672.0,0.1,41.747932,-87.714795
60653,31490.0,29908.0,34502.0,109.3,2.3 sq. mi.,0.7 sq. mi.,13499.0,13498,17990,"1.5% ($3,740)",0.015,3740,"$3,888 (1.5%)","$2,864 (1.6%)",248175.0,27262.0,2034.0,593.0,750.0,277635.0,0.168,41.819962,-87.60598399999999
60654,17576.0,14875.0,7.0,108.4,0.6 sq. mi.,0.0 sq. mi.,28911.0,8743,8833,"1.4% ($6,263)",0.014,6263,"$5,974 (1.4%)","$6,942 (1.4%)",445295.0,97741.0,2569.0,1334.0,1995.0,591281.0,0.046,41.892289,-87.637271
60655,29153.0,28550.0,29138.0,101.7,4.4 sq. mi.,0.0 sq. mi.,6619.0,14084,15068,"1.4% ($3,641)",0.014,3641,"$3,740 (1.4%)","$3,320 (1.4%)",258165.0,94881.0,1804.0,565.0,1071.0,229250.0,0.039,41.694776,-87.703777
60656,28326.0,27613.0,27129.0,104.3,3.3 sq. mi.,0.0 sq. mi.,8666.0,14089,14237,"1.6% ($4,576)",0.016,4576,"$4,676 (1.6%)","$4,439 (1.7%)",277588.0,60590.0,1701.0,625.0,1053.0,973562.0,0.05,41.97428,-87.82713199999999
60657,71110.0,65996.0,66789.0,106.4,2.3 sq. mi.,0.8 sq. mi.,31278.0,34878,36231,"1.5% ($6,472)",0.015,6472,"$6,814 (1.5%)","$5,116 (1.3%)",432531.0,87817.0,2569.0,1071.0,1416.0,677191.0,0.024,41.940293,-87.646857
60659,39554.0,38104.0,39155.0,106,2.0 sq. mi.,0.0 sq. mi.,19511.0,20376,19178,"1.7% ($5,153)",0.017,5153,"$5,195 (1.7%)","$5,008 (1.7%)",302450.0,53665.0,1842.0,731.0,1099.0,145978.0,0.063,41.991488000000004,-87.703986
60660,42085.0,42752.0,47726.0,104.8,1.3 sq. mi.,0.2 sq. mi.,32982.0,21183,20901,"1.4% ($3,336)",0.014,3336,"$3,615 (1.4%)","$2,673 (1.4%)",241516.0,45611.0,1879.0,745.0,948.0,223705.0,0.055,41.99111,-87.663076
60661,9477.0,7792.0,4382.0,106.4,0.3 sq. mi.,0.0 sq. mi.,31865.0,4931,4545,"1.3% ($4,793)",0.013,4793,"$4,681 (1.3%)","$5,529 (1.4%)",372929.0,106053.0,2285.0,905.0,1875.0,339727.0,0.036000000000000004,41.88303,-87.644101
60642,,,,,,,,,,,,,,,,,,,,,,41.902042,-87.65854399999999
