zip code,Estimated zip code population in 2016,Zip code population in 2010,Zip code population in 2000,March 2016 Index,Land area,Water area,Population Density (#/sqr mile),Males,Females,Real estate property taxes paid for housing units in 2016,Property Tax % on Houses,Property Tax on Housting ($),Median real estate property taxes paid for housing units with mortgages in 2016,Median real estate property taxes paid for housing units with no mortgage in 2016,Estimated median house/condo value in 2016,Estimated median household income in 2016,Median monthly owner costs for units with a mortgage,Median monthly owner costs for units without a mortgage,Median gross rent in 2016,Median price asked for vacant for-sale houses and condos in 2016,Unemployment
60605,27004,24668,12423,107.3,1.2 sq. mi.,0.8 sq. mi.,21684,12907,14097,"1.3% ($5,418)",0.013,5418,"$5,250 (1.3%)","$5,994 (1.4%)",419656,103862,2420,1034,1909,932097,0.033
60606,3054,2308,1682,107.5,0.3 sq. mi.,0.0 sq. mi.,11954,1473,1580,"1.3% ($5,607)",0.013,5607,"$5,853 (1.4%)","$5,336 (1.1%)",436749,124950,2749,1126,2129,339727,0.012
60607,28784,23897,15552,106.9,2.3 sq. mi.,0.0 sq. mi.,12406,14257,14526,"1.4% ($5,363)",0.014,5363,"$5,232 (1.3%)","$5,999 (1.6%)",387025,90063,2318,893,1740,1168344,0.048
60608,79191,82739,92472,106,6.4 sq. mi.,0.2 sq. mi.,12469,43784,35410,"1.4% ($3,547)",0.014,3547,"$3,627 (1.4%)","$3,382 (1.4%)",251616,39133,1791,592,862,255204,0.085
60609,63142,64906,79469,104,7.8 sq. mi.,0.0 sq. mi.,8139,31179,31963,"1.5% ($2,649)",0.015,2649,"$2,908 (1.5%)","$2,329 (1.7%)",174811,34078,1544,534,816,174322,0.149
60610,38989,37726,47513,108,1.2 sq. mi.,0.4 sq. mi.,33253,17500,21487,"1.4% ($6,603)",0.014,6603,"$6,473 (1.3%)","$6,867 (1.5%)",478703,80292,2575,1341,1445,504905,0.038
60611,32015,28718,26522,109.2,0.8 sq. mi.,0.6 sq. mi.,38783,14700,17314,"1.3% ($6,890)",0.013,6890,"$6,230 (1.3%)","$7,683 (1.3%)",528649,96384,2853,1508,1877,714808,0.035
60612,36069,33472,37990,107.2,3.7 sq. mi.,0.0 sq. mi.,9626,17545,18523,"1.6% ($4,262)",0.016,4262,"$4,417 (1.7%)","$3,641 (1.3%)",269264,38678,1930,679,957,327093,0.122
60613,50229,48281,50548,105.2,2.2 sq. mi.,0.4 sq. mi.,23099,25208,25020,"1.5% ($5,201)",0.015,5201,"$5,412 (1.5%)","$4,008 (1.3%)",349066,76872,2247,848,1278,357243,0.036
60614,70818,66617,65474,107.9,3.2 sq. mi.,0.3 sq. mi.,22367,35104,35713,"1.4% ($7,988)",0.014,7988,"$8,100 (1.4%)","$7,746 (1.5%)",575598,98566,2934,1219,1474,1165077,0.026
60615,40834,40603,45096,106,2.2 sq. mi.,0.6 sq. mi.,18456,19233,21600,"1.3% ($3,169)",0.013,3169,"$3,580 (1.3%)","$2,701 (1.4%)",245401,42271,1990,808,1055,381912,0.086
60616,53334,48433,47073,107.7,4.0 sq. mi.,0.6 sq. mi.,13170,25320,28013,"1.3% ($4,359)",0.013,4359,"$4,516 (1.3%)","$4,049 (1.5%)",324204,44551,2117,651,977,449066,0.069
60617,81149,84155,96288,101.8,13.9 sq. mi.,1.5 sq. mi.,5850,37507,43640,"1.3% ($1,741)",0.013,1741,"$1,820 (1.3%)","$1,563 (1.2%)",138517,38799,1326,473,811,170512,0.159
60618,97003,92084,98147,106.2,5.1 sq. mi.,0.0 sq. mi.,19167,49343,47661,"1.5% ($5,755)",0.015,5755,"$5,889 (1.5%)","$5,335 (1.7%)",372485,64678,2280,770,1114,395089,0.044
60619,63723,63825,74963,103.8,6.0 sq. mi.,0.0 sq. mi.,10584,28005,35715,"1.3% ($2,161)",0.013,2161,"$2,284 (1.4%)","$1,894 (1.3%)",161714,33352,1463,498,868,105906,0.166
60620,70293,72216,85771,103.2,7.1 sq. mi.,0.0 sq. mi.,9922,31294,38996,"1.2% ($1,822)",0.012,1822,"$1,873 (1.2%)","$1,699 (1.3%)",146841,33745,1364,514,885,112420,0.173
60621,31833,35912,47514,104.5,3.7 sq. mi.,0.0 sq. mi.,8539,14201,17631,"1.3% ($1,499)",0.013,1499,"$1,520 (1.2%)","$1,476 (1.5%)",114321,20986,1257,521,831,139027,0.261
60622,55248,52548,76015,107.1,2.5 sq. mi.,0.0 sq. mi.,22502,28826,26423,"1.4% ($6,619)",0.014,6619,"$6,593 (1.4%)","$6,643 (1.6%)",474819,82366,2572,881,1307,581870,0.04
60623,89401,92108,108144,103.9,5.4 sq. mi.,0.1 sq. mi.,16691,44021,45379,"1.7% ($2,661)",0.017,2661,"$2,750 (1.7%)","$2,527 (1.7%)",156275,31295,1511,572,826,115169,0.1
60624,38680,38105,45647,108,3.5 sq. mi.,0.0 sq. mi.,10942,18236,20444,"1.5% ($2,566)",0.015,2566,"$2,633 (1.3%)","$2,438 (1.7%)",176586,23079,1473,611,907,348199,0.141
